,tipo,ausentes,valores_unicos
customer_id,int64,0,2500
customer_age,int64,0,52
customer_region,str,0,5
customer_tenure_months,int64,0,119
order_id,int64,0,2500
order_value,float64,0,2457
items_quantity,int64,0,6
discount_value,float64,0,2050
payment_installments,int64,0,11
delivery_time_days,int64,0,13
delivery_delay_days,int64,0,9
freight_value,float64,0,1897
delivery_attempts,int64,0,3
customer_service_contacts,int64,0,8
resolution_time_days,int64,0,12
nps_score,float64,0,101
repeat_purchase_30d,int64,0,2
complaints_count,int64,0,12
csat_internal_score,float64,0,98
nps_category,str,0,3
is_detractor,int64,0,2
delay_band,category,0,4
complaints_band,category,0,4
contacts_band,category,0,4
resolution_band,category,0,4
